,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,bambous virieux,-20.34,57.76,73.0,88,75,8.05,MU,1601931952
88,tiksi,71.69,128.87,35.76,94,100,8.99,RU,1601931952
89,umm lajj,25.02,37.27,82.56,57,0,5.7,SA,1601931953
90,usa river,-3.37,36.85,75.2,69,20,11.41,TZ,1601931813
91,broome,42.25,-75.83,59.0,69,67,1.99,US,1601931953
92,murgab,37.5,61.97,64.4,36,75,6.93,TM,1601931953
93,tanout,14.97,8.89,95.31,17,49,7.11,NE,1601931953
94,mar del plata,-38.0,-57.56,55.4,71,40,3.36,AR,1601931854
95,cayenne,4.93,-52.33,78.8,88,61,2.24,GF,1601931954
96,leningradskiy,69.38,178.42,22.3,89,12,5.95,RU,1601931954
97,aswan,24.09,32.91,82.13,22,0,9.75,EG,1601931954
98,bereda,43.27,-7.54,64.0,100,100,7.0,ES,1601931954
99,jatiroto,-7.88,111.12,72.45,82,100,6.51,ID,1601931954
100,prince rupert,54.32,-130.32,53.6,93,90,3.36,CA,1601931891
101,eydhafushi,5.1,73.07,81.97,78,0,14.61,MV,1601931955
102,camacha,33.08,-16.33,69.8,73,40,11.41,PT,1601931955
103,chaparral,3.72,-75.48,85.57,47,16,3.2,CO,1601931955
104,novokuznetsk,53.76,87.11,33.1,95,100,6.62,RU,1601931955
105,narsaq,60.92,-46.05,33.8,74,54,2.24,GL,1601931956
106,kaitangata,-46.28,169.85,53.01,53,63,15.01,NZ,1601931956
107,lompoc,34.64,-120.46,78.8,57,1,11.41,US,1601931790
108,isangel,-19.55,169.27,75.63,60,1,2.53,VU,1601931956
109,saint-philippe,-21.36,55.77,66.2,93,77,8.05,RE,1601931956
110,fortuna,40.6,-124.16,64.4,77,1,10.29,US,1601931956
111,hualmay,-11.1,-77.61,65.62,68,3,6.8,PE,1601931956
112,puerto ayora,-0.74,-90.35,75.2,60,0,17.22,EC,1601931956
113,kavieng,-2.57,150.8,82.72,75,100,14.32,PG,1601931957
114,polovinnoye,54.79,65.99,32.9,92,1,10.78,RU,1601931957
115,oussouye,12.48,-16.55,75.2,100,75,2.24,SN,1601931957
116,paamiut,61.99,-49.67,31.14,86,100,7.49,GL,1601931958
117,monroe,43.15,-77.68,57.99,67,75,12.75,US,1601931802
118,la ronge,55.1,-105.28,59.0,44,20,13.87,CA,1601931958
119,dicabisagan,17.08,122.42,78.46,83,53,6.8,PH,1601931958
120,talara,-4.58,-81.27,65.77,75,80,13.33,PE,1601931958
121,barra patuca,15.8,-84.28,82.02,77,100,21.03,HN,1601931958
122,okhotsk,59.38,143.3,36.46,73,0,15.48,RU,1601931958
123,ketchikan,55.34,-131.65,55.4,76,75,9.55,US,1601931925
124,cherskiy,68.75,161.3,27.88,87,85,3.53,RU,1601931959
125,vilhena,-12.74,-60.15,93.15,30,52,2.42,BR,1601931959
126,sinnamary,5.38,-52.95,82.9,75,97,8.68,GF,1601931959
127,maldonado,-34.67,-54.92,54.0,87,75,28.86,UY,1601931959
128,yambio,4.57,28.4,69.8,93,99,1.34,SS,1601931959
129,aksha,50.28,113.29,28.17,89,0,1.57,RU,1601931960
130,bajil,15.06,43.29,87.98,54,0,1.97,YE,1601931960
131,cidreira,-30.18,-50.21,68.49,78,98,12.12,BR,1601931672
132,nazare,-13.04,-39.01,73.67,81,4,4.18,BR,1601931960
133,nanortalik,60.14,-45.24,33.37,86,56,10.94,GL,1601931960
134,grand-lahou,5.14,-5.02,75.88,89,94,6.24,CI,1601931961
135,saint george,37.1,-113.58,82.4,7,1,5.08,US,1601931919
136,natchitoches,31.77,-93.13,77.0,44,1,3.36,US,1601931961
137,aklavik,68.22,-135.01,37.4,86,90,9.17,CA,1601931961
138,wahiawa,21.5,-158.02,84.2,69,90,8.05,US,1601931695
139,touros,-5.2,-35.46,78.8,78,40,11.41,BR,1601931961
